Molecule,Name,Dipole,SMILES
HCCF,Fluoroacetylene,0.730,C#CF
HFCO,formyl fluoride,2.081,O=CF
BHF2,Difluoroborane,0.971,FBF
NHF2,difluoramine,1.920,FNF
FNO2,Nitryl fluoride,0.466,O=[N+]([O-])F
N2F2,(Z)-Difluorodiazene,0.160,F/N=N\F
BF3,"Borane, trifluoro-",0.000,FB(F)F
CF2O,Carbonic difluoride,0.950,O=C(F)F
CF3,Trifluoromethyl radical,0.430,F[C](F)F
FOOF,Perfluoroperoxide,1.440,FOOF
NF3,Nitrogen trifluoride,0.235,FN(F)F
AlH3,aluminum trihydride,0.000,[AlH3]
AlF3,Aluminum trifluoride,0.000,[F][Al]([F])[F]
PH3,Phosphine,0.580,P
P4,Phosphorus tetramer,0.000,p12p3p1p23
PF3,Phosphorus trifluoride,1.030,FP(F)F
H2CS,Thioformaldehyde,1.647,C=S
H2S2,Disulfane,1.170,SS
SO3,Sulfur trioxide,0.000,O=S(=O)=O
FSSF,Difluorodisulfane,1.450,FSSF
S2F2,Thio-thionyl fluoride,1.030,FS=SF
HCCCl,Chloroacetylene,0.440,C#CCl
Cl2CS,Thiophosgene,0.290,S=C(Cl)Cl
CCl2O,Phosgene,1.170,O=C(Cl)Cl
ClNO2,Nitryl chloride,0.530,O=[NH+][O-].[Cl-]
BCl3,"Borane, trichloro-",0.000,ClB(Cl)Cl
AlCl3,Aluminum trichloride,0.000,[Cl][Al]([Cl])[Cl]
SOCl2,thionyl chloride,1.450,O=S(Cl)Cl
PCl3,Phosphorus trichloride,0.560,ClP(Cl)Cl
NCl3,nitrogen trichloride,0.390,ClN(Cl)Cl
ClSSCl,Disulfur dichloride,1.600,ClSSCl
ClF3,Chlorine trifluoride,0.600,FCl(F)F
AsH3,Arsine,0.200,[AsH3]
AsCl3,Arsenous trichloride,1.590,Cl[As](Cl)Cl
AsF3,Arsenic trifluoride,2.590,F[As](F)F
H2CSe,Selenoformaldehyde,1.410,C=[Se]
HCCBr,bromoacetylene,0.230,C#CBr
PBr3,Phosphorus tribromide,0.610,BrP(Br)Br
CH4,Methane,0.000,C
CH2NH,Methanimine,2.000,C=N
CH2NN,diazomethane,1.500,C=[N+]=[N-]
NH2CN,cyanamide,4.320,N#CN
HNCNH,diiminomethane,1.900,HN=C=NH
CH2N2,diazirine,1.590,C1=NN1
HCCCN,Cyanoacetylene,3.720,C#CC#N
NH2OH,hydroxylamine,0.590,NO
CH2CO,Ketene,1.420,C=C=O
CH2O2,Dioxirane,2.479,C1OO1
HCOOH,Formic acid,3.790,O=CO
HNO3,Nitric acid,2.170,O=[N+]([O-])O
C3O2,Carbon suboxide,0.000,O=C=C=C=O
N2O3,Dinitrogen trioxide,2.122,O=N[N+](=O)[O-]
CH3F,Methyl fluoride,1.847,CF
